character	index	digits	pdf_page
暿	7859	2511121251431251	497
曌	7860	2511351144534121	497
曈	7861	2511414312511211	497
㬚	7862	2511415425113134	498
蹅	7863	2512121123425111	498
踶	7864	2512121251112134	498
䗛	7865	2512143223542511	499
螗	7866	2512144135112251	500
疁	7867	2512154154134333	500
㠓	7868	2521224511353334	501
幪	7869	2521224511353334	501
𪩘	7870	2521225431121344	501
嶦	7871	2523513344111251	501
𬭬	7872	3111511121112511	502
𨱑	7873	3111512212512134	502
𬭯	7874	3111543252343134	503
馞	7875	3123425111245521	504
穄	7876	3123435445411234	504
篚	7877	3143141211121115	504
篯	7878	3143143111511534	504
簉	7879	3143143121251454	504
鼽	7880	3251112512113235	505
衠	7881	3321225111134112	506
盦	7882	3445125351125221	506
螣	7883	3511431134251214	507
縢	7884	3511431134554234	507
鲭	7885	3525121111212511	507
鲯	7886	3525121112211134	507
鲰	7887	3525121112211154	507
鲺	7888	3525121153251214	508
鲹	7889	3525121154134333	508
𫗴	7890	3554125251125111	509
亸	7891	4125152143251112	509
癀	7892	4134112212512134	509
瘭	7893	4134112522111234	510
𬸦	7894	4153313113435451	511
羱	7895	4311131332511234	511
糒	7896	4312341221325112	512
燋	7897	4334324111214444	512
熻	7898	4334341251541541	513
燊	7899	4334433443341234	513
燚	7900	4334433443344334	513
燏	7901	4334545232534251	513
濩	7902	4411223241112154	513
濋	7903	4411234123452134	513
澪	7904	4411452444434454	514
澽	7905	4412153151353334	514
澴	7906	4412522112513534	514
澭	7907	4414155332411121	515
澼	7908	4415132514143112	515
憷	7909	4421234123452134	515
憺	7910	4423513344111251	515
懔	7911	4424125251111234	516
黉	7912	4434512212512134	516
嬛	7913	5312522112513534	517
鹨	7914	5415413433335451	517
翯	7915	5415414125125251	517
𫄷	7916	5514143125114544	518
璱	7917	11211121112145434	518
𤩽	7918	11211225431121344	518
璬	7919	11213251141533134	519
璮	7920	11214125251125111	519
髽	7921	12111543333434121	519
擿	7922	12141432512251454	519
薿	7923	12235311345452134	521
薸	7924	12244112522111234	521
檑	7925	12341452444425121	521
櫆	7926	12343251135544412	521
檞	7927	12343535112533112	522
醨	7928	12535114134522554	522
繄	7929	13113453554554234	522
磹	7930	13251125221251112	522
磻	7931	13251343123425121	523
瞫	7932	25111125221251112	524
瞵	7933	25111431234354152	524
蹐	7934	25121214134342511	525
蟏	7935	25121412251123234	526
㘎	7936	25142551221113134	527
𬭳	7937	31115121251431251	528
镤	7938	31115224314311134	528
𬭶	7939	31115254312114444	528
𫔍	7940	31115343123425121	528
镥	7941	31115352512112511	528
镨	7942	31115431224312511	529
𬭸	7943	31115431234354152	529
𨱔	7944	31115431253511124	529
𬭼	7945	31115431353334454	529
𫔎	7946	31115545232534251	529
矰	7947	31134432524312511	530
穙	7948	31234224314311134	530
穜	7949	31234414312511211	530
穟	7950	31234431353334454	530
簕	7951	31431412212511253	530
簃	7952	31431431234354354	531
簏	7953	31431441352211535	531
儦	7954	32413522115354444	532
魋	7955	32511355432411121	532
斶	7956	33122522135251214	532
艚	7957	33541412512212511	533
𬸪	7958	34312342512135451	533
谿	7959	34435541343434251	533
䲠	7960	35251211111342511	534
𬶟	7961	35251211125123422	534
鲾	7962	35251211125125121	534
𬶠	7963	35251211125431234	535
鲿	7964	35251211243451154	535
鳁	7965	35251211251125221	535
鳂	7966	35251211251211534	535
鳈	7967	35251211325112534	535
鳉	7968	35251211412354124	536
獯	7969	35331254312114444	536
䗪	7970	41312214444251214	536
馘	7971	43132511112511534	537
襕	7972	45234425125431234	539
襚	7973	45234431353334454	539
𬶨	7974	51154153535251211	539
螱	7975	51311234124251214	539
甓	7976	51325141431121554	539
嬬	7977	53114524444132522	540
嬥	7978	53154154132411121	540
𦈡	7979	55114524444132522	541
𫄸	7980	55131254312114444	541
瓀	7981	112114524444132522	541
釐	7982	112343134132511211	541
鬶	7983	113425351251254312	541
爇	7984	122121341213544444	542
鞳	7985	122125112122341251	542
鞮	7986	122125112251112134	542
𬟁	7987	122125125431235451	543
藟	7988	122251212512125121	543
藦	7989	122413123412343112	543
藨	7990	122413522115354444	543
鹲	7991	122451135333435451	543
檫	7992	123444535445411234	544
黡	7993	131344254312114444	544
